,Sharing,Address,Size,Provider,Receiver,Bandwidth (GB/s)
0,read,0,64,1,0,19.726833130673306
1,write,0,64,1,0,25.51823678564463
2,write,0,8,1,0,2.8439505824521043
3,write,524288,64,1,0,25.51823678564463
4,write,524288,8,1,0,2.8439505824521043
5,read,524288,64,1,0,19.726833130673306
6,read,0,64,1,7,16.277134390579672
7,write,0,8,1,7,2.842716677423029
8,write,0,64,1,7,25.04374461567914
9,read,524288,64,1,7,16.277134390579672
10,write,524288,8,1,7,2.842716677423029
11,write,524288,64,1,7,25.04374461567914
12,write,0,8,1,3,2.8427590751379253
13,write,0,64,1,3,25.422101273204394
14,read,0,64,1,3,17.8367183438307
15,write,524288,64,1,3,25.422101273204394
16,write,524288,8,1,3,2.8427590751379253
17,read,524288,64,1,3,17.8367183438307
18,read,0,64,1,4,17.8367183438307
19,write,0,64,1,4,25.422101273204394
20,write,0,8,1,4,2.8437924285437197
21,write,524288,64,1,4,25.422101273204394
22,write,524288,8,1,4,2.8437924285437197
23,read,524288,64,1,4,17.8367183438307
24,read,0,64,1,6,16.277134390579672
25,write,0,8,1,6,2.842716677423029
26,write,0,64,1,6,25.04374461567914
27,read,524288,64,1,6,16.277134390579672
28,write,524288,8,1,6,2.842716677423029
29,write,524288,64,1,6,25.04374461567914
30,write,524288,64,1,5,25.422101273204394
31,write,524288,8,1,5,2.8437924285437197
32,read,524288,64,1,5,17.8367183438307
33,read,0,64,1,5,17.8367183438307
34,write,0,64,1,5,25.422101273204394
35,write,0,8,1,5,2.8437924285437197
36,read,524288,64,1,2,17.8367183438307
37,write,524288,64,1,2,25.422101273204394
38,write,524288,8,1,2,2.8427590751379253
39,read,0,64,1,2,17.8367183438307
40,write,0,64,1,2,25.422101273204394
41,write,0,8,1,2,2.8427590751379253
42,write,0,8,6,3,2.527829587556651
43,write,0,64,6,3,25.422101273204394
44,read,0,64,6,3,16.513457426242574
45,read,524288,64,6,3,16.513457426242574
46,write,524288,8,6,3,2.527829587556651
47,write,524288,64,6,3,25.422101273204394
48,write,0,64,6,4,25.422101273204394
49,write,0,8,6,4,2.5287137286780292
50,read,0,64,6,4,16.277134390579672
51,read,524288,64,6,4,16.277134390579672
52,write,524288,64,6,4,25.422101273204394
53,write,524288,8,6,4,2.5287137286780292
54,read,0,64,6,0,16.522061784047935
55,write,0,8,6,0,2.5277960633395793
56,write,0,64,6,0,25.51823678564463
57,write,524288,64,6,0,25.51823678564463
58,write,524288,8,6,0,2.5277960633395793
59,read,524288,64,6,0,16.522061784047935
60,read,524288,64,6,7,16.277134390579672
61,write,524288,64,6,7,25.0410480349345
62,write,524288,8,6,7,2.5304502730024483
63,read,0,64,6,7,16.277134390579672
64,write,0,8,6,7,2.5304502730024483
65,write,0,64,6,7,25.0410480349345
66,write,0,64,6,5,25.422101273204394
67,write,0,8,6,5,2.5287137286780292
68,read,0,64,6,5,16.277134390579672
69,write,524288,64,6,5,25.422101273204394
70,write,524288,8,6,5,2.5287137286780292
71,read,524288,64,6,5,16.277134390579672
72,write,524288,64,6,2,25.422101273204394
73,write,524288,8,6,2,2.527829587556651
74,read,524288,64,6,2,16.513457426242574
75,write,0,64,6,2,25.422101273204394
76,write,0,8,6,2,2.527829587556651
77,read,0,64,6,2,16.513457426242574
78,read,0,64,6,1,16.522061784047935
79,write,0,64,6,1,25.51823678564463
80,write,0,8,6,1,2.5277960633395793
81,write,524288,8,6,1,2.5277960633395793
82,write,524288,64,6,1,25.51823678564463
83,read,524288,64,6,1,16.522061784047935
84,write,0,8,2,7,2.67999780143648
85,write,0,64,2,7,24.968606440989415
86,read,0,64,2,7,16.277134390579672
87,read,524288,64,2,7,16.277134390579672
88,write,524288,8,2,7,2.67999780143648
89,write,524288,64,2,7,24.968606440989415
90,write,524288,64,2,0,25.51823678564463
91,write,524288,8,2,0,2.6827548702856587
92,read,524288,64,2,0,18.09191189183582
93,write,0,8,2,0,2.6827548702856587
94,write,0,64,2,0,25.51823678564463
95,read,0,64,2,0,18.09191189183582
96,write,524288,64,2,4,25.422101273204394
97,write,524288,8,2,4,2.6817974837683103
98,read,524288,64,2,4,16.52989171214862
99,read,0,64,2,4,16.52989171214862
100,write,0,64,2,4,25.422101273204394
101,write,0,8,2,4,2.6817974837683103
102,read,0,64,2,3,17.8367183438307
103,write,0,64,2,3,25.422101273204394
104,write,0,8,2,3,2.6839087595959503
105,write,524288,8,2,3,2.6839087595959503
106,write,524288,64,2,3,25.422101273204394
107,read,524288,64,2,3,17.8367183438307
108,write,0,64,2,1,25.51823678564463
109,write,0,8,2,1,2.6827548702856587
110,read,0,64,2,1,18.09191189183582
111,write,524288,8,2,1,2.6827548702856587
112,write,524288,64,2,1,25.51823678564463
113,read,524288,64,2,1,18.09191189183582
114,write,0,64,2,6,24.968606440989415
115,write,0,8,2,6,2.67999780143648
116,read,0,64,2,6,16.277134390579672
117,read,524288,64,2,6,16.277134390579672
118,write,524288,8,2,6,2.67999780143648
119,write,524288,64,2,6,24.968606440989415
120,write,524288,64,2,5,25.422101273204394
121,write,524288,8,2,5,2.6817974837683103
122,read,524288,64,2,5,16.52989171214862
123,write,0,64,2,5,25.422101273204394
124,write,0,8,2,5,2.6817974837683103
125,read,0,64,2,5,16.52989171214862
126,read,0,64,5,2,16.559713243497733
127,write,0,64,5,2,25.422101273204394
128,write,0,8,5,2,2.679042381371006
129,write,524288,8,5,2,2.679042381371006
130,write,524288,64,5,2,25.422101273204394
131,read,524288,64,5,2,16.559713243497733
132,write,524288,8,5,1,2.6827548702856587
133,write,524288,64,5,1,25.51823678564463
134,read,524288,64,5,1,18.107565584550425
135,read,0,64,5,1,18.107565584550425
136,write,0,8,5,1,2.6827548702856587
137,write,0,64,5,1,25.51823678564463
138,read,524288,64,5,6,16.277134390579672
139,write,524288,64,5,6,25.04374461567914
140,write,524288,8,5,6,2.681759751347825
141,write,0,64,5,6,25.04374461567914
142,write,0,8,5,6,2.681759751347825
143,read,0,64,5,6,16.277134390579672
144,write,0,8,5,4,2.682792630714229
145,write,0,64,5,4,25.422101273204394
146,read,0,64,5,4,17.8367183438307
147,write,524288,8,5,4,2.682792630714229
148,write,524288,64,5,4,25.422101273204394
149,read,524288,64,5,4,17.8367183438307
150,read,524288,64,5,3,16.559713243497733
151,write,524288,8,5,3,2.679042381371006
152,write,524288,64,5,3,25.422101273204394
153,read,0,64,5,3,16.559713243497733
154,write,0,64,5,3,25.422101273204394
155,write,0,8,5,3,2.679042381371006
156,write,0,8,5,7,2.681759751347825
157,write,0,64,5,7,25.04374461567914
158,read,0,64,5,7,16.277134390579672
159,read,524288,64,5,7,16.277134390579672
160,write,524288,64,5,7,25.04374461567914
161,write,524288,8,5,7,2.681759751347825
162,write,524288,64,5,0,25.51823678564463
163,write,524288,8,5,0,2.6827548702856587
164,read,524288,64,5,0,18.107565584550425
165,read,0,64,5,0,18.107565584550425
166,write,0,64,5,0,25.51823678564463
167,write,0,8,5,0,2.6827548702856587
168,read,0,64,7,6,16.277134390579672
169,write,0,8,7,6,2.5304502730024483
170,write,0,64,7,6,25.0410480349345
171,read,524288,64,7,6,16.277134390579672
172,write,524288,8,7,6,2.5304502730024483
173,write,524288,64,7,6,25.0410480349345
174,write,524288,8,7,1,2.5277960633395793
175,write,524288,64,7,1,25.51823678564463
176,read,524288,64,7,1,16.522061784047935
177,read,0,64,7,1,16.522061784047935
178,write,0,8,7,1,2.5277960633395793
179,write,0,64,7,1,25.51823678564463
180,write,524288,8,7,5,2.5287137286780292
181,write,524288,64,7,5,25.422101273204394
182,read,524288,64,7,5,16.277134390579672
183,write,0,64,7,5,25.422101273204394
184,write,0,8,7,5,2.5287137286780292
185,read,0,64,7,5,16.277134390579672
186,read,524288,64,7,2,16.513457426242574
187,write,524288,8,7,2,2.527829587556651
188,write,524288,64,7,2,25.422101273204394
189,read,0,64,7,2,16.513457426242574
190,write,0,64,7,2,25.422101273204394
191,write,0,8,7,2,2.527829587556651
192,write,0,64,7,0,25.51823678564463
193,write,0,8,7,0,2.5277960633395793
194,read,0,64,7,0,16.522061784047935
195,write,524288,64,7,0,25.51823678564463
196,write,524288,8,7,0,2.5277960633395793
197,read,524288,64,7,0,16.522061784047935
198,write,0,8,7,3,2.527829587556651
199,write,0,64,7,3,25.422101273204394
200,read,0,64,7,3,16.513457426242574
201,read,524288,64,7,3,16.513457426242574
202,write,524288,8,7,3,2.527829587556651
203,write,524288,64,7,3,25.422101273204394
204,read,524288,64,7,4,16.277134390579672
205,write,524288,8,7,4,2.5287137286780292
206,write,524288,64,7,4,25.422101273204394
207,write,0,8,7,4,2.5287137286780292
208,write,0,64,7,4,25.422101273204394
209,read,0,64,7,4,16.277134390579672
210,read,524288,64,0,7,16.277134390579672
211,write,524288,64,0,7,25.04374461567914
212,write,524288,8,0,7,2.842716677423029
213,read,0,64,0,7,16.277134390579672
214,write,0,8,0,7,2.842716677423029
215,write,0,64,0,7,25.04374461567914
216,write,524288,64,0,3,25.422101273204394
217,write,524288,8,0,3,2.8427590751379253
218,read,524288,64,0,3,17.8367183438307
219,write,0,8,0,3,2.8427590751379253
220,write,0,64,0,3,25.422101273204394
221,read,0,64,0,3,17.8367183438307
222,read,0,64,0,4,17.8367183438307
223,write,0,64,0,4,25.422101273204394
224,write,0,8,0,4,2.8437924285437197
225,write,524288,8,0,4,2.8437924285437197
226,write,524288,64,0,4,25.422101273204394
227,read,524288,64,0,4,17.8367183438307
228,read,524288,64,0,6,16.277134390579672
229,write,524288,8,0,6,2.842716677423029
230,write,524288,64,0,6,25.04374461567914
231,write,0,8,0,6,2.842716677423029
232,write,0,64,0,6,25.04374461567914
233,read,0,64,0,6,16.277134390579672
234,read,0,64,0,1,19.726833130673306
235,write,0,8,0,1,2.8439505824521043
236,write,0,64,0,1,25.51823678564463
237,read,524288,64,0,1,19.726833130673306
238,write,524288,8,0,1,2.8439505824521043
239,write,524288,64,0,1,25.51823678564463
240,write,524288,8,0,5,2.8437924285437197
241,write,524288,64,0,5,25.422101273204394
242,read,524288,64,0,5,17.8367183438307
243,write,0,64,0,5,25.422101273204394
244,write,0,8,0,5,2.8437924285437197
245,read,0,64,0,5,17.8367183438307
246,read,0,64,0,2,17.8367183438307
247,write,0,8,0,2,2.8427590751379253
248,write,0,64,0,2,25.422101273204394
249,write,524288,64,0,2,25.422101273204394
250,write,524288,8,0,2,2.8427590751379253
251,read,524288,64,0,2,17.8367183438307
252,write,524288,8,4,1,2.6827548702856587
253,write,524288,64,4,1,25.51823678564463
254,read,524288,64,4,1,18.107565584550425
255,read,0,64,4,1,18.107565584550425
256,write,0,64,4,1,25.51823678564463
257,write,0,8,4,1,2.6827548702856587
258,write,0,8,4,6,2.681759751347825
259,write,0,64,4,6,25.04374461567914
260,read,0,64,4,6,16.277134390579672
261,read,524288,64,4,6,16.277134390579672
262,write,524288,8,4,6,2.681759751347825
263,write,524288,64,4,6,25.04374461567914
264,read,0,64,4,2,16.559713243497733
265,write,0,8,4,2,2.679042381371006
266,write,0,64,4,2,25.422101273204394
267,read,524288,64,4,2,16.559713243497733
268,write,524288,64,4,2,25.422101273204394
269,write,524288,8,4,2,2.679042381371006
270,write,0,8,4,5,2.682792630714229
271,write,0,64,4,5,25.422101273204394
272,read,0,64,4,5,17.8367183438307
273,read,524288,64,4,5,17.8367183438307
274,write,524288,64,4,5,25.422101273204394
275,write,524288,8,4,5,2.682792630714229
276,read,0,64,4,7,16.277134390579672
277,write,0,8,4,7,2.681759751347825
278,write,0,64,4,7,25.04374461567914
279,read,524288,64,4,7,16.277134390579672
280,write,524288,64,4,7,25.04374461567914
281,write,524288,8,4,7,2.681759751347825
282,write,0,64,4,0,25.51823678564463
283,write,0,8,4,0,2.6827548702856587
284,read,0,64,4,0,18.107565584550425
285,write,524288,8,4,0,2.6827548702856587
286,write,524288,64,4,0,25.51823678564463
287,read,524288,64,4,0,18.107565584550425
288,read,524288,64,4,3,16.559713243497733
289,write,524288,8,4,3,2.679042381371006
290,write,524288,64,4,3,25.422101273204394
291,write,0,64,4,3,25.422101273204394
292,write,0,8,4,3,2.679042381371006
293,read,0,64,4,3,16.559713243497733
294,read,0,64,3,6,16.277134390579672
295,write,0,64,3,6,24.968606440989415
296,write,0,8,3,6,2.67999780143648
297,read,524288,64,3,6,16.277134390579672
298,write,524288,8,3,6,2.67999780143648
299,write,524288,64,3,6,24.968606440989415
300,write,0,8,3,1,2.6827548702856587
301,write,0,64,3,1,25.51823678564463
302,read,0,64,3,1,18.09191189183582
303,write,524288,8,3,1,2.6827548702856587
304,write,524288,64,3,1,25.51823678564463
305,read,524288,64,3,1,18.09191189183582
306,write,524288,8,3,5,2.6817974837683103
307,write,524288,64,3,5,25.422101273204394
308,read,524288,64,3,5,16.52989171214862
309,read,0,64,3,5,16.52989171214862
310,write,0,64,3,5,25.422101273204394
311,write,0,8,3,5,2.6817974837683103
312,write,524288,8,3,2,2.6839087595959503
313,write,524288,64,3,2,25.422101273204394
314,read,524288,64,3,2,17.8367183438307
315,write,0,64,3,2,25.422101273204394
316,write,0,8,3,2,2.6839087595959503
317,read,0,64,3,2,17.8367183438307
318,write,0,8,3,0,2.6827548702856587
319,write,0,64,3,0,25.51823678564463
320,read,0,64,3,0,18.09191189183582
321,read,524288,64,3,0,18.09191189183582
322,write,524288,64,3,0,25.51823678564463
323,write,524288,8,3,0,2.6827548702856587
324,read,0,64,3,7,16.277134390579672
325,write,0,8,3,7,2.67999780143648
326,write,0,64,3,7,24.968606440989415
327,read,524288,64,3,7,16.277134390579672
328,write,524288,64,3,7,24.968606440989415
329,write,524288,8,3,7,2.67999780143648
330,read,0,64,3,4,16.52989171214862
331,write,0,64,3,4,25.422101273204394
332,write,0,8,3,4,2.6817974837683103
333,write,524288,8,3,4,2.6817974837683103
334,write,524288,64,3,4,25.422101273204394
335,read,524288,64,3,4,16.52989171214862
